Country,City,ZoneId
TR,Istanbul,Europe/Istanbul
TR,Ankara,Europe/Istanbul
TR,Izmir,Europe/Istanbul
TR,Antalya,Europe/Istanbul
TR,Bursa,Europe/Istanbul
TR,Adana,Europe/Istanbul
TR,Konya,Europe/Istanbul
TR,Gaziantep,Europe/Istanbul
TR,Mersin,Europe/Istanbul
TR,Diyarbakir,Europe/Istanbul
TR,Kayseri,Europe/Istanbul
TR,Sanliurfa,Europe/Istanbul
TR,Malatya,Europe/Istanbul
TR,Erzurum,Europe/Istanbul
TR,Van,Europe/Istanbul
TR,Samsun,Europe/Istanbul
TR,Trabzon,Europe/Istanbul
TR,Denizli,Europe/Istanbul
TR,Eskişehir,Europe/Istanbul
TR,Kocaeli,Europe/Istanbul

DE,Berlin,Europe/Berlin
DE,Hamburg,Europe/Berlin
DE,Munich,Europe/Berlin
DE,Frankfurt,Europe/Berlin

CY,Nicosia,Asia/Nicosia

GB,London,Europe/London
GB,Manchester,Europe/London
GB,Liverpool,Europe/London

FR,Paris,Europe/Paris

ES,Madrid,Europe/Madrid
ES,Barcelona,Europe/Madrid
ES,Seville,Europe/Madrid

RU,Moscow,Europe/Moscow
RU,St Petersburg,Europe/Moscow
RU,Novosibirsk,Asia/Novosibirsk

IQ,Baghdad,Asia/Baghdad
IQ,Basra,Asia/Baghdad

IR,Tehran,Asia/Tehran
